ville,prix,surface,quartier,type_bien,nb_chambres,nb_salle_de_bain,url_annonce,source
Casablanca,9500.0,180.0,2 Mars,Appartement,5,1,https://www.avito.ma/fr/2_mars/appartements/Appartement_haut_standing_%C3%A0_louer__2_mars_casa_57404295.htm,Avito
Casablanca,4500.0,95.0,Ain Sebaa,Maison,4,1,https://www.avito.ma/fr/ain_sebaa/appartements/Occasion_appart_%C3%A0_Ain_Sebaa_neuf_4500dh_57404236.htm,Avito
Marrakech,6000.0,68.0,Victor Hugo,Appartement,2,1,https://www.avito.ma/fr/victor_hugo/appartements/Appartement_%C3%A0_louer_68_m%C2%B2_%C3%A0_Marrakech_56720385.htm,Avito
Casablanca,9600.0,132.0,Californie,Appartement,4,1,https://www.avito.ma/fr/californie/appartements/Appartement_%C3%A0_louer_132_m%C2%B2_%C3%A0_Casablanca_57404076.htm,Avito
Casablanca,6000.0,90.0,Beauséjour,Appartement,3,1,https://www.avito.ma/fr/beaus%C3%A9jour/appartements/Appartement_%C3%A0_louer_90_m%C2%B2_%C3%A0_Casablanca_57404058.htm,Avito
Casablanca,6000.0,40.0,Palmier,Appartement,2,1,https://www.avito.ma/fr/palmier/appartements/Neuf_Studio_Meubl%C3%A9_luxe_avec_wifi_Ensoleill%C3%A9_57200953.htm,Avito
Casablanca,8500.0,60.0,Racine,Appartement,3,1,https://www.avito.ma/fr/racine/appartements/A_Louer__Superbe_Studio_sur_Racine_proche_les_Iris_57298017.htm,Avito
Marrakech,5500.0,78.0,Hay Andalous,Appartement,3,1,https://www.avito.ma/fr/hay_andalous/appartements/Appartement_%C3%A0_louer_vide_57404036.htm,Avito
Casablanca,5500.0,85.0,Oulfa,Appartement,3,1,https://www.avito.ma/fr/oulfa/appartements/Appartement_%C3%A0_louer_85_m%C2%B2_%C3%A0_Casablanca_57404015.htm,Avito
Casablanca,4000.0,58.0,Oulfa,Appartement,3,1,https://www.avito.ma/fr/oulfa/appartements/Appartement_%C3%A0_louer_58_m%C2%B2_%C3%A0_Casablanca_57404013.htm,Avito
Marrakech,5000.0,55.0,Route de Casablanca,Appartement,3,1,https://www.avito.ma/fr/route_de_casablanca/appartements/Appartement_meubl%C3%A9_%C3%A0_louer_57367937.htm,Avito
Casablanca,6850.0,59.0,Oulfa,Appartement,2,1,https://www.avito.ma/fr/oulfa/appartements/Studio_%C3%A0_louer_%C3%A0_c%C3%B4t%C3%A9_de_l_h%C3%B4pital_khalifa_Et_CFC_57403976.htm,Avito
Casablanca,6000.0,100.0,Beauséjour,Appartement,3,1,https://www.avito.ma/fr/beaus%C3%A9jour/appartements/Appartement_%C3%A0_louer_%C3%A0_Beaus%C3%A9jour_57403971.htm,Avito
Casablanca,8900.0,95.0,Casablanca Finance City,Maison,3,1,https://www.avito.ma/fr/casablanca_finance_city/appartements/Apt_95_m%C2%B2_2_chambres_meubl%C3%A9_CFC_57403972.htm,Avito
Marrakech,6500.0,120.0,Hay Charaf,Appartement,4,1,https://www.avito.ma/fr/hay_charaf/appartements/Appartement_de_luxe_53422305.htm,Avito
Casablanca,4200.0,89.0,Hay Mohammadi,Appartement,4,1,https://www.avito.ma/fr/hay_mohammadi/appartements/Appartement_%C3%A0_louer_Lavilette_57403910.htm,Avito
Casablanca,11500.0,139.0,Maarif,Appartement,3,1,https://www.avito.ma/fr/maarif/appartements/CMN_MA_2488___Appartement_%C3%A0_louer_%C3%A0_Bir_Anzarane_57403878.htm,Avito
Marrakech,5500.0,78.0,Guéliz,Appartement,2,1,https://www.avito.ma/fr/gu%C3%A9liz/appartements/appartement_meubl%C3%A9_%C3%A0_louer_57403883.htm,Avito
Marrakech,4500.0,50.0,Route de Casablanca,Appartement,3,1,https://www.avito.ma/fr/route_de_casablanca/appartements/Appartement_avec_balcon___meubl%C3%A9_%C3%A0_louer_mensuellement_57294937.htm,Avito
Rabat,4150.0,32.0,Agdal,Appartement,1,1,https://www.avito.ma/fr/agdal/appartements/studio_meubl%C3%A9_agdal_57403848.htm,Avito
Rabat,3800.0,28.0,Diour Jamaa,Appartement,1,1,https://www.avito.ma/fr/diour_jamaa/appartements/Studio_meubl%C3%A9_57403825.htm,Avito
Marrakech,4500.0,87.0,Ain Mezouar,Appartement,4,1,https://www.avito.ma/fr/ain_mezouar/appartements/Appartement_neuf_%C3%A0_louer_Ain_Mezouar_57403823.htm,Avito
Rabat,4200.0,29.0,Agdal,Appartement,1,1,https://www.avito.ma/fr/agdal/appartements/studio_meubl%C3%A9_agdal_57403819.htm,Avito
Marrakech,5000.0,70.0,Allal El Fassi,Appartement,3,1,https://www.avito.ma/fr/allal_el_fassi/appartements/Appartement_meubl%C3%A9_avec_2_balcons____%C3%A0_louer_mensuellement_57391803.htm,Avito
Marrakech,25000.0,521.0,Targa,Villa,8,3,https://www.avito.ma/fr/targa/villas_et_riads/Belle_villa_meubl%C3%A9e_a_louer_%C3%A0_Targa_57116793.htm,Avito
Casablanca,5700.0,50.0,Hay Laymouna,Appartement,2,1,https://www.avito.ma/fr/hay_laymouna/appartements/Studio_%C3%A0_louer_meubl%C3%A9_avec_terrasse_57378748.htm,Avito
Casablanca,5700.0,45.0,Oulfa,Appartement,2,1,https://www.avito.ma/fr/oulfa/appartements/Studio_meubl%C3%A9_%C3%A0_louer_45m%C2%B2_%C3%A0_Casablanca_57140850.htm,Avito
Marrakech,9000.0,59.0,Guéliz,Appartement,2,1,https://www.avito.ma/fr/gu%C3%A9liz/appartements/Appartement_meubl%C3%A9_location_longue_dur%C3%A9e_57403707.htm,Avito
Casablanca,5000.0,56.0,Les Princesses,Appartement,2,1,https://www.avito.ma/fr/les_princesses/appartements/Studio_vide_%C3%A0_louer_Maarif_57378763.htm,Avito
Casablanca,6500.0,46.0,Oulfa,Appartement,2,1,https://www.avito.ma/fr/oulfa/appartements/Studio_Meubl%C3%A9_A_Louer_a_Chiekh_Khalifa_Oulfa_57296060.htm,Avito
Casablanca,5000.0,92.0,Ain Sebaa,Appartement,4,1,https://www.avito.ma/fr/ain_sebaa/appartements/Magnifique_appartement_meubl%C3%A9_%C3%A0_louer_57403682.htm,Avito
Casablanca,1000.0,80.0,Sidi Bernoussi,Appartement,3,1,https://www.avito.ma/fr/sidi_bernoussi/appartements/Appartement_80m2_57407056.htm,Avito
Casablanca,8000.0,83.0,Maarif,Appartement,2,1,https://www.avito.ma/fr/maarif/appartements/CMN_MA_2486___Appartement_%C3%A0_louer_%C3%A0_Burger_57403650.htm,Avito
Casablanca,4500.0,49.0,Bourgogne,Appartement,1,1,https://www.avito.ma/fr/bourgogne/appartements/Studio_45m%C2%B2___R%C3%A9sidence_Tranquille_57025568.htm,Avito
Casablanca,9000.0,140.0,Triangle d'Or,Appartement,4,1,https://www.avito.ma/fr/triangle_d_or/appartements/Appartement_%C3%A0_louer_%C3%A0_Triangle_d_or_57403619.htm,Avito
Casablanca,7500.0,104.0,Beauséjour,Appartement,2,1,https://www.avito.ma/fr/beaus%C3%A9jour/appartements/CMN_HA_1933___Appartement_%C3%A0_louer_%C3%A0_Beaus%C3%A9jour_57403583.htm,Avito
Tanger,4600.0,70.0,Autre secteur,Appartement,3,1,https://www.avito.ma/fr/autre_secteur/appartements/Bel_Appartement_meubl%C3%A9_tout_neuf_avec_garage_57403584.htm,Avito
Tanger,5299.0,100.0,Centre,Appartement,4,1,https://www.avito.ma/fr/centre/appartements/Appartement_Neuf_%C3%A0_louer_100_m%C2%B2_vue_sur_Jardin_57403559.htm,Avito
Casablanca,10900.0,101.0,Casablanca Finance City,Appartement,3,1,https://www.avito.ma/fr/casablanca_finance_city/appartements/Appartement_de_standing_neuf__meubl%C3%A9_%C3%A0_louer_%C3%A0_CFC_57403537.htm,Avito
Marrakech,3500.0,64.0,Centre Ville,Maison,3,1,https://www.avito.ma/fr/centre_ville/appartements/Aparte_Abwab_gueliz_avec_Coution_5000_dh_57403522.htm,Avito
Tanger,25000.0,400.0,Tanja Balia,Villa,9,3,https://www.avito.ma/fr/tanja_balia/villas_et_riads/Villa__haut_standing__%C3%80_louer__57403486.htm,Avito
Casablanca,4000.0,84.0,Aïn Borja,Appartement,3,1,https://www.avito.ma/fr/a%C3%AFn_borja/appartements/Appartement_en_location___la_Villette_A%C3%AFn_Borja_56050708.htm,Avito
Marrakech,3500.0,57.0,Es Saada,Appartement,3,1,https://www.avito.ma/fr/es_saada/appartements/Appartement_%C3%A0_louer_vide_57047788.htm,Avito
Casablanca,18000.0,220.0,Anfa,Appartement,5,1,https://www.avito.ma/fr/anfa/appartements/Appartement_Haut_standing__220_m%C2%B2_Anfa_57403383.htm,Avito
Marrakech,7000.0,85.0,Centre Ville,Appartement,3,1,https://www.avito.ma/fr/centre_ville/appartements/Appartement_Meubl%C3%A9_%C3%A0_c%C3%B4t%C3%A9_de_sup_de_co_57403331.htm,Avito
Rabat,14000.0,120.0,Hay Riad,Appartement,4,1,https://www.avito.ma/fr/hay_riad/appartements/appartement_haut_standing_meubl%C3%A9_57403295.htm,Avito
Casablanca,6000.0,200.0,Beauséjour,Appartement,5,1,https://www.avito.ma/fr/beaus%C3%A9jour/appartements/Appartement_ensoleill%C3%A9_180_m%C2%B2_%C3%A0_Beausejour_57403264.htm,Avito
Casablanca,8000.0,130.0,Bourgogne,Appartement,3,1,https://www.avito.ma/fr/bourgogne/appartements/Appartement_%C3%A0_louer__magnifique__r%C3%A9nov%C3%A9__meubl%C3%A9__avec_ascenseur_et_parking_57403253.htm,Avito
Casablanca,5500.0,46.0,Roches Noires,Appartement,2,1,https://www.avito.ma/fr/roches_noires/appartements/Studio_meubl%C3%A9_neuf_%C3%A0_Roches_Noires__Casablanca_57406464.htm,Avito
Casablanca,12000.0,176.0,Gauthier,Appartement,5,1,https://www.avito.ma/fr/gauthier/appartements/Appartement_Sans_vis_%C3%A0_vis_%C3%A0_louer_176m%C2%B2_Casablanca_57403247.htm,Avito
Marrakech,10500.0,90.0,Victor Hugo,Appartement,3,1,https://www.avito.ma/fr/victor_hugo/appartements/Appartement_longue_dur%C3%A9e_Victor_Hugo_57403241.htm,Avito
Casablanca,4500.0,60.0,Californie,Appartement,3,1,https://www.avito.ma/fr/californie/appartements/Appartement_%C3%A0_louer_%C3%A0_c%C3%B4t%C3%A9_de_Jnane_Californie_57403233.htm,Avito
Casablanca,4500.0,50.0,Marina,Appartement,2,1,https://www.avito.ma/fr/marina/appartements/Studio_%C3%A0_louer_%C3%A0_Casa_Bour_pr%C3%A8s_de_Marina_57403229.htm,Avito
Casablanca,14000.0,85.0,Casablanca Finance City,Appartement,3,1,https://www.avito.ma/fr/casablanca_finance_city/appartements/Appartement_haut_standing_57403110.htm,Avito
Rabat,13500.0,120.0,Hay Riad,Appartement,3,1,https://www.avito.ma/fr/hay_riad/appartements/Appartement_meubl%C3%A9_avec_piscine_%C3%A0_prestigia_Ryad_57402965.htm,Avito
Marrakech,5000.0,70.0,Mabrouka,Appartement,3,1,https://www.avito.ma/fr/mabrouka/appartements/Appartement_meubl%C3%A9_moyen_standing_mabrouka_57402961.htm,Avito
Casablanca,15500.0,130.0,Casablanca Finance City,Appartement,3,1,https://www.avito.ma/fr/casablanca_finance_city/appartements/appartement_haut_standing_CFC_57402960.htm,Avito
Tanger,14000.0,300.0,Ziatene,Villa,9,3,https://www.avito.ma/fr/ziatene/villas_et_riads/Belle_villa_%C3%A0_louer_dans_r%C3%A9sidence_57402673.htm,Avito
Casablanca,7000.0,49.0,Oasis,Maison,1,1,https://www.avito.ma/fr/oasis/appartements/169673_Appt_%C3%A0_louer_%C3%A0_7000DH_%C3%A0_Oasis_57402663.htm,Avito
Casablanca,8500.0,40.0,Maarif,Appartement,2,1,https://www.avito.ma/fr/maarif/appartements/Studio_meubl%C3%A9_%C3%A0_Bourgogne_pour_location_57302435.htm,Avito
Marrakech,6000.0,76.0,Les Portes de Marrakech,Appartement,4,1,https://www.avito.ma/fr/les_portes_de_marrakech/appartements/appartement_3_chambres_meubl%C3%A9_57402628.htm,Avito
Casablanca,9500.0,116.0,Al Fida,Maison,4,1,https://www.avito.ma/fr/al_fida/appartements/avec_3_ch_Apprt_situ%C3%A9_sur_2_mars_%C3%A0_louer_57305197.htm,Avito
Marrakech,6000.0,60.0,Bouaakkaz,Appartement,3,1,https://www.avito.ma/fr/bouaakkaz/appartements/Appartement_%C3%A0_louer_59_m%C2%B2_%C3%A0_Marrakech_57406115.htm,Avito
Casablanca,8000.0,120.0,Maarif,Appartement,4,1,https://www.avito.ma/fr/maarif/appartements/Appartement_%C3%A0_louer_HAY_SOQRAT_MAARIF_CASA_56233334.htm,Avito
Rabat,10000.0,120.0,Hay el Fath,Appartement,4,1,https://www.avito.ma/fr/hay_el_fath/appartements/Location_appartement_57402516.htm,Avito
Rabat,8500.0,60.0,Hay Riad,Appartement,2,1,https://www.avito.ma/fr/hay_riad/appartements/Appartement_60_m_meubl%C3%A9_%C3%A0_prestigia_57402457.htm,Avito
Marrakech,5500.0,60.0,Bouaakkaz,Appartement,3,1,https://www.avito.ma/fr/bouaakkaz/appartements/Appartement_meubl%C3%A9_%C3%A0_louer_%C3%A0_c%C3%B4t%C3%A9_de_l_a%C3%A9roport_57402369.htm,Avito
Casablanca,8300.0,132.0,Val Fleuri,Appartement,4,1,https://www.avito.ma/fr/val_fleuri/appartements/Appartement_HS_132m_%C2%B2_val_fleuri_56534736.htm,Avito
Casablanca,5700.0,60.0,Roches Noires,Appartement,2,1,https://www.avito.ma/fr/roches_noires/appartements/Location_Studio_Meubl%C3%A9_Neuf_57391092.htm,Avito
Casablanca,7000.0,91.0,Anfa,Appartement,1,1,https://www.avito.ma/fr/anfa/appartements/Appartement_%C3%A0_louer_84_m%C2%B2_%C3%A0_Casablanca_57405819.htm,Avito
Casablanca,8300.0,67.0,Californie,Appartement,2,1,https://www.avito.ma/fr/californie/appartements/location_Studio_Haut_Standing_57391152.htm,Avito
Marrakech,2500.0,60.0,Route de Tamansourt,Appartement,3,1,https://www.avito.ma/fr/route_de_tamansourt/appartements/Appartement_Tamansourt_57402281.htm,Avito
Casablanca,4700.0,60.0,Roches Noires,Appartement,3,1,https://www.avito.ma/fr/roches_noires/appartements/Location_Studio_Vide_Deux_Chambres_57342555.htm,Avito
Casablanca,5000.0,45.0,Palmier,Appartement,1,1,https://www.avito.ma/fr/palmier/appartements/STUDIO_A_LOUER_MEUBLER_MAARIF_Q_PALMIERS_57402273.htm,Avito
Casablanca,1701.0,45.0,Ain Sebaa,Appartement,2,1,https://www.avito.ma/fr/ain_sebaa/appartements/Appartement_%C3%A0_louer_57402264.htm,Avito
Rabat,500.0,100.0,Agdal,Maison,3,1,https://www.avito.ma/fr/agdal/appartements/Rabat_Par_Jour_57402245.htm,Avito
Rabat,6500.0,75.0,Autre secteur,Appartement,3,1,https://www.avito.ma/fr/autre_secteur/appartements/Appartement_meubl%C3%A9_%C3%A0_louer_57402238.htm,Avito
Casablanca,17000.0,160.0,Ferme Bretone,Appartement,4,1,https://www.avito.ma/fr/ferme_bretone/appartements/Appartement_meubl%C3%A9_Ferme_Bretonne_57295275.htm,Avito
Tanger,6000.0,65.0,Aharrarine,Appartement,3,1,https://www.avito.ma/fr/aharrarine/appartements/Appartement_%C3%A0_loue_%C3%A0_Mahata_jdida_57353725.htm,Avito
Casablanca,7000.0,50.0,Les Princesses,Appartement,2,1,https://www.avito.ma/fr/les_princesses/appartements/Appart_studio_meubl%C3%A9_neuf_les_princesses_57402123.htm,Avito
Casablanca,7900.0,140.0,Anfa,Appartement,4,1,https://www.avito.ma/fr/anfa/appartements/Appartement_%C3%A0_louer_Bachkou_57402069.htm,Avito
Rabat,15000.0,100.0,Agdal,Appartement,3,1,https://www.avito.ma/fr/agdal/appartements/Appartement_meubl%C3%A9_%C3%A0_louer_Agdal_Rabat_57294122.htm,Avito
Casablanca,8500.0,75.0,Anfa,Appartement,2,1,https://www.avito.ma/fr/anfa/appartements/Appartement_%C3%A0_louer_60_m%C2%B2_%C3%A0_Casablanca_57401993.htm,Avito
Casablanca,5300.0,45.0,Quartier des Hôpitaux,Appartement,2,1,https://www.avito.ma/fr/quartier_des_h%C3%B4pitaux/appartements/Studio_vide_avec_cuisine_%C3%A9quip%C3%A9e_57295052.htm,Avito
Casablanca,8500.0,100.0,Anfa,Appartement,3,1,https://www.avito.ma/fr/anfa/appartements/Appartement_%C3%A0_louer_100_m%C2%B2_%C3%A0_Casablanca_57370904.htm,Avito
Casablanca,5500.0,50.0,Belvédère,Appartement,2,1,https://www.avito.ma/fr/belv%C3%A9d%C3%A8re/appartements/Superbe_studio_meubl%C3%A9_%C3%A0_louer_Belv%C3%A9d%C3%A8re_57376581.htm,Avito
Casablanca,3500.0,54.0,Aïn Chock,Appartement,3,1,https://www.avito.ma/fr/a%C3%AFn_chock/appartements/appartement_meubl%C3%A9_a_louer_residence_taouzar_57405307.htm,Avito
Casablanca,3500.0,70.0,Aïn Chock,Appartement,3,1,https://www.avito.ma/fr/a%C3%AFn_chock/appartements/Appartement_%C3%A0_louer__rue_Tah_57401832.htm,Avito
Tanger,3500.0,60.0,Marjane,Appartement,3,1,https://www.avito.ma/fr/marjane/appartements/Location_appartement_meubl%C3%A9_%C3%A0_Marjane_route_Rabat_57401827.htm,Avito
Marrakech,4000.0,64.0,Centre Ville,Maison,3,1,https://www.avito.ma/fr/centre_ville/appartements/Aparte_Abwab_gueliz_Rez_de_chauss%C3%A9e_de_chauss%C3%A9e_57401818.htm,Avito
Casablanca,2000.0,56.0,Aïn Chock,Appartement,3,1,https://www.avito.ma/fr/a%C3%AFn_chock/appartements/Appartement_%C3%A0_louer_%C3%A0_Sidi_Maarouf_57401814.htm,Avito
Marrakech,6000.0,74.0,Palmeraie,Appartement,2,1,https://www.avito.ma/fr/palmeraie/appartements/Appartement_Traditionnel_Meubl%C3%A9_%C3%A0_Louer_Palmeraie_57401782.htm,Avito
Tanger,2200.0,60.0,la Nouvelle Ville Ibn Battouta,Appartement,3,1,https://www.avito.ma/fr/la_nouvelle_ville_ibn_battouta/appartements/Location_appartement_for%C3%AAt_diplomatique_alliance_57401727.htm,Avito
Casablanca,4300.0,110.0,Aïn Chock,Appartement,3,1,https://www.avito.ma/fr/a%C3%AFn_chock/appartements/Appartement_%C3%A0_louer_Mandarona_57401730.htm,Avito
Casablanca,2800.0,56.0,Aïn Chock,Appartement,2,1,https://www.avito.ma/fr/a%C3%AFn_chock/appartements/Appartement_%C3%A0_louer_rue_Smara_57401704.htm,Avito
Casablanca,3800.0,70.0,Aïn Chock,Appartement,3,1,https://www.avito.ma/fr/a%C3%AFn_chock/appartements/Appartement_meubl%C3%A9_Omariya_57401687.htm,Avito
Casablanca,8000.0,50.0,Les Princesses,Appartement,2,1,https://www.avito.ma/fr/les_princesses/appartements/Location_studio_meubl%C3%A9_Quartier_les_princesses_57294699.htm,Avito
Casablanca,8500.0,55.0,Les Princesses,Appartement,2,1,https://www.avito.ma/fr/les_princesses/appartements/Location_studio_meubl%C3%A9_Quartier_les_princesses_57294688.htm,Avito
Marrakech,6000.0,83.0,M'Hamid,Appartement,3,1,https://www.avito.ma/fr/m_hamid/appartements/Appartement_%C3%A0_louer_83_m%C2%B2_%C3%A0_Marrakech_56314631.htm,Avito
Marrakech,3700.0,100.0,Hay Al Massar,Maison,3,1,https://www.avito.ma/fr/hay_al_massar/appartements/Aparte_Almassar_1er_%C3%A9tage_3700_dh_57401649.htm,Avito
Casablanca,9000.0,66.0,Casablanca Finance City,Appartement,2,1,https://www.avito.ma/fr/casablanca_finance_city/appartements/Location_studio_meubl%C3%A9_%C3%A0_CFC_57294672.htm,Avito
Casablanca,1000.0,38.0,Sidi Bernoussi,Maison,2,1,https://www.avito.ma/fr/sidi_bernoussi/appartements/Appart_hypoth%C3%A8que_45_m%C2%B2_%C3%A0_SIDI_BERNOUSSI_centre_57401636.htm,Avito
Marrakech,4500.0,60.0,M'Hamid,Appartement,2,1,https://www.avito.ma/fr/m_hamid/appartements/Appartement_Nahda_Mhamid_Rahn_10_000_dh_57401604.htm,Avito
Casablanca,4000.0,64.0,Lissasfa,Appartement,3,1,https://www.avito.ma/fr/lissasfa/appartements/Appartement_bien_%C3%A9quip%C3%A9_57401571.htm,Avito
Marrakech,5500.0,67.0,Mabrouka,Appartement,3,1,https://www.avito.ma/fr/mabrouka/appartements/Appartement_%C3%A0_louer_%C3%A0_mabrouka_57401511.htm,Avito
Marrakech,3500.0,60.0,Les Portes de Marrakech,Maison,3,1,https://www.avito.ma/fr/les_portes_de_marrakech/appartements/Aparte_Abwab_Marrakech_avec_Coution_10_000_dh_57401415.htm,Avito
Casablanca,17000.0,183.0,Anfa,Appartement,5,1,https://www.avito.ma/fr/anfa/appartements/Magnifique_appartement_meubl%C3%A9_3_chambres_Bd_Ghandi_57401391.htm,Avito
Tanger,7500.0,84.0,Centre ville,Appartement,3,1,https://www.avito.ma/fr/centre_ville/appartements/Appartement_%C3%A0_louer_84_m%C2%B2_%C3%A0_Moulay_Smail_57401387.htm,Avito
Casablanca,1500.0,60.0,Ben M'sick,Appartement,2,1,https://www.avito.ma/fr/ben_m_sick/appartements/Appartement_%C3%A0_louer_60_m%C2%B2_%C3%A0_Casablanca_57401378.htm,Avito
Casablanca,6000.0,58.0,Franceville,Appartement,2,1,https://www.avito.ma/fr/franceville/appartements/Studio_Neuf_sans_vis_%C3%A0_vis_ensoleill%C3%A9_57376032.htm,Avito
Casablanca,4000.0,50.0,Sidi Maarouf,Appartement,2,1,https://www.avito.ma/fr/sidi_maarouf/appartements/Appartement_meubl%C3%A9_57401370.htm,Avito
Tanger,19000.0,124.0,De La Plage,Appartement,3,1,https://www.avito.ma/fr/de_la_plage/appartements/TNG_TA_1123___Appartement_%C3%A0_louer_%C3%A0_Quartier_de_____57401284.htm,Avito
Casablanca,11000.0,128.0,Ferme Bretone,Appartement,2,1,https://www.avito.ma/fr/ferme_bretone/appartements/CMN_HA_1932___Appartement_%C3%A0_louer_%C3%A0_Ferme_Bretonne_57401282.htm,Avito
Casablanca,8500.0,58.0,Triangle d'Or,Appartement,2,1,https://www.avito.ma/fr/triangle_d_or/appartements/studio_meubl%C3%A9_%C3%A0_louer__triangle_d_or___57316042.htm,Avito
Marrakech,2500.0,60.0,M'Hamid,Maison,3,1,https://www.avito.ma/fr/m_hamid/appartements/Location_2500dh_5000dh_caution_57401113.htm,Avito
Marrakech,2000.0,60.0,M'Hamid,Maison,3,1,https://www.avito.ma/fr/m_hamid/appartements/Caution_1_million_2000dh_location_imam_mosslim_2em_57401102.htm,Avito
Rabat,22000.0,148.0,Souissi,Appartement,4,1,https://www.avito.ma/fr/souissi/appartements/Bel_appartement_neuf_57401028.htm,Avito
Casablanca,6500.0,90.0,Triangle d'Or,Appartement,2,1,https://www.avito.ma/fr/triangle_d_or/appartements/Grand_studio_Triangle_d_or_55554923.htm,Avito
Casablanca,17000.0,160.0,Oasis,Appartement,4,1,https://www.avito.ma/fr/oasis/appartements/Appartement_meubl%C3%A9_haut_standing_%C3%A0_Oasis_avec_3ch_57293988.htm,Avito
Rabat,4500.0,50.0,Al Irfane,Appartement,2,1,https://www.avito.ma/fr/al_irfane/appartements/Studio_meubl%C3%A9_57400958.htm,Avito
Rabat,4150.0,30.0,Diour Jamaa,Appartement,1,1,https://www.avito.ma/fr/diour_jamaa/appartements/studio_meubl%C3%A9_57400917.htm,Avito
Rabat,4180.0,27.0,Agdal,Appartement,1,1,https://www.avito.ma/fr/agdal/appartements/Studio_meubl%C3%A9_57400912.htm,Avito
Rabat,4300.0,31.0,Al Irfane,Appartement,1,1,https://www.avito.ma/fr/al_irfane/appartements/studio_meubl%C3%A9_agdal_57400902.htm,Avito
Rabat,4250.0,33.0,Agdal,Appartement,1,1,https://www.avito.ma/fr/agdal/appartements/studio_meubl%C3%A9_agdal_57400898.htm,Avito
Rabat,14000.0,160.0,Hay Riad,Appartement,5,1,https://www.avito.ma/fr/hay_riad/appartements/Superbe_appartement_a_louer_de_3_ch_a_Hay_Riad_57267181.htm,Avito
Rabat,6000.0,75.0,Agdal,Appartement,3,1,https://www.avito.ma/fr/agdal/appartements/Appartement_location_57400859.htm,Avito
Marrakech,7500.0,60.0,Guéliz,Appartement,2,1,https://www.avito.ma/fr/gu%C3%A9liz/appartements/Appartement_%C3%A0_louer_60_m%C2%B2_%C3%A0_Marrakech_57293627.htm,Avito
Rabat,4000.0,28.0,Diour Jamaa,Appartement,1,1,https://www.avito.ma/fr/diour_jamaa/appartements/Studio_meubl%C3%A9_centre_ville_57400844.htm,Avito
Casablanca,6700.0,70.0,Sidi Maarouf,Appartement,2,1,https://www.avito.ma/fr/sidi_maarouf/appartements/Studio_sidi_maarouf_casa_neirshore_57400846.htm,Avito
Rabat,4300.0,26.0,Hassan,Appartement,1,1,https://www.avito.ma/fr/hassan/appartements/studio_meubl%C3%A9_57400854.htm,Avito
Rabat,4100.0,30.0,Agdal,Appartement,1,1,https://www.avito.ma/fr/agdal/appartements/Studio_meubl%C3%A9_Agdal_57400820.htm,Avito
Marrakech,20000.0,320.0,Targa,Villa,6,2,https://www.avito.ma/fr/targa/villas_et_riads/Villa_%C3%A0_louer_meubl%C3%A9_dans_une_r%C3%A9sidence_%C3%A0_Targa_57372254.htm,Avito
Marrakech,12000.0,50.0,Guéliz,Appartement,2,1,https://www.avito.ma/fr/gu%C3%A9liz/appartements/Appartement_%C3%A0_louer_50_m%C2%B2_%C3%A0_Marrakech_57400760.htm,Avito
Casablanca,11000.0,85.0,C.I.L,Appartement,3,1,https://www.avito.ma/fr/c.i.l/appartements/Appartement_neuf_meubl%C3%A9_85_m%C2%B2_CIL_57400749.htm,Avito
Marrakech,13000.0,90.0,Guéliz,Appartement,2,1,https://www.avito.ma/fr/gu%C3%A9liz/appartements/Appartement_%C3%A0_louer_90_m%C2%B2_%C3%A0_Marrakech_57400741.htm,Avito
Marrakech,16000.0,62.0,Centre Ville,Appartement,3,1,https://www.avito.ma/fr/centre_ville/appartements/Appartement_%C3%A0_louer_62_m%C2%B2_%C3%A0_Marrakech_57400639.htm,Avito
Rabat,25000.0,121.0,Souissi,Appartement,3,1,https://www.avito.ma/fr/souissi/appartements/Appartement_meubl%C3%A9_pour_location_57400650.htm,Avito
Rabat,25000.0,150.0,Souissi,Maison,4,1,https://www.avito.ma/fr/souissi/appartements/Rez_de_jardin_location_Ourongeri_Souissi_57400634.htm,Avito
Marrakech,13000.0,140.0,Guéliz,Appartement,2,1,https://www.avito.ma/fr/gu%C3%A9liz/appartements/Appartement_%C3%A0_louer_140_m%C2%B2_%C3%A0_Marrakech_57400545.htm,Avito
Rabat,1500.0,70.0,Hay Nahda,Appartement,3,1,https://www.avito.ma/fr/hay_nahda/appartements/Appartement_colocation_pour_les_fille_a_rabat_57400548.htm,Avito
Marrakech,7500.0,70.0,Route de Casablanca,Appartement,3,1,https://www.avito.ma/fr/route_de_casablanca/appartements/Appartement_%C3%A0_louer_70_m%C2%B2_%C3%A0_Marrakech_57400514.htm,Avito
Rabat,6000.0,130.0,Hay Nahda,Villa,4,1,https://www.avito.ma/fr/hay_nahda/appartements/Etage_villa_a_rabat_hay_nahda_1_location_57400522.htm,Avito
Marrakech,30000.0,300.0,Route d'Ourika,Villa,5,1,https://www.avito.ma/fr/route_d_ourika/villas_et_riads/Villa_%C3%A0_louer___Route_de_l_Ourika_57400497.htm,Avito
Casablanca,11000.0,16.0,Maarif,Appartement,5,1,https://www.avito.ma/fr/maarif/appartements/Appartement_%C3%A0_louer_187_m%C2%B2_%C3%A0_Casablanca_57279121.htm,Avito
Marrakech,8600.0,65.0,Guéliz,Appartement,2,1,https://www.avito.ma/fr/gu%C3%A9liz/appartements/Appartement_%C3%A0_louer_65_m%C2%B2_%C3%A0_Marrakech_57400411.htm,Avito
